threshold,coverage,auto_n,auto_accuracy
0.05,0.998805256869773,836,0.8827751196172249
0.1,0.9904420549581839,829,0.8866103739445115
0.15,0.986857825567503,826,0.887409200968523
0.2,0.982078853046595,822,0.8905109489051095
0.25,0.972520908004779,814,0.8943488943488943
0.3,0.9629629629629629,806,0.8957816377171216
0.35,0.9522102747909199,797,0.8983688833124216
0.4,0.9366786140979689,784,0.9030612244897959
0.45,0.9175627240143369,768,0.9088541666666666
0.5,0.899641577060932,753,0.9136786188579017
0.55,0.8829151732377539,739,0.9147496617050067
0.6,0.8733572281959379,731,0.9179206566347469
0.65,0.8494623655913979,711,0.9184247538677919
0.7,0.8327359617682198,697,0.921090387374462
0.75,0.8004778972520908,670,0.9238805970149254
0.8,0.7694145758661888,644,0.9270186335403726
0.85,0.7240143369175627,606,0.9306930693069307
0.9,0.6356033452807647,532,0.943609022556391
0.95,0.5448028673835126,456,0.9605263157894737
