threshold,coverage,auto_n,auto_accuracy,auto_accuracy_ci95
0.0,1.0,1265,0.6134387351778656,"[0.5862984910839418, 0.6398920751774418]"
0.3,0.9075098814229249,1148,0.6402439024390244,"[0.6120558377086045, 0.6674964896252928]"
0.4,0.750197628458498,949,0.6691253951527925,"[0.6385591459295779, 0.6983279085399163]"
0.5,0.5699604743083004,721,0.7115117891816921,"[0.6773887921866815, 0.7433927965080072]"
0.6,0.39446640316205533,499,0.7955911823647295,"[0.7580126004497413, 0.828653260131404]"
0.7,0.2671936758893281,338,0.8165680473372781,"[0.7718288054451776, 0.8541921352478217]"
0.8,0.12806324110671938,162,0.9012345679012346,"[0.8455909886142747, 0.9382895335225112]"
0.9,0.03715415019762846,47,0.9361702127659575,"[0.828371220656221, 0.9780550129792271]"
0.95,0.010276679841897233,13,0.9230769230769231,"[0.6668546607175265, 0.9862899336203037]"
0.99,0.0,0,,
